ID,"Item title","Final URL","Image URL","Item description","Item category",Price,"Sale price"
521,"Lastavica: Split to Dubrovnik 2023",cruise-split-dubrovnik-lastavica-2023,/storage/ships/lastavica-lead-001.jpg,"<p>Treat yourself to a gorgeous one way cruise from the medieval city of Split to poshy Dubrovnik. All the must-see Croatian highlights are here: Hvar, Brač, Mljet, Korčula and Vis, but at the same time the cruise offers a little extra that will make your journey unforgettable: some rural experience, oyster tasting, real Dalmatian dinner and swim stops in picturesque lagoons. Apart from that, enjoy a high level of personalized service, delicious meals on board, spacious sundeck with hot tub and comfortable cabins.&nbsp;</p>","Deluxe Superior",-,-
530,"Mama Marija: Split to Dubrovnik 2023",cruise-split-dubrovnik-mama-marija-2023,/storage/ships/MamaMarija-1003.jpg,"<p>Start your sea adventure in Split and enjoy the gorgeous Croatian coast while making your way down to Dubrovnik on board a deluxe mini cruiser! Enjoy the sun and sea breeze on the topdeck, experience delicious cuisine in the restaurant and learn more about destinations during inspiring walking tours.&nbsp;</p>","Deluxe Superior",-,-
534,"Mama Marija: Dubrovnik to Split 2023",cruise-dubrovnik-split-mama-marija-2023,/storage/ships/MamaMarija-1003.jpg,"<p>The one-way cruise program from Dubrovnik to Split offers a great combination of sight-seeing, relaxation and adventure! Visit the remote island of Vis, find your very own swim spot on &Scaron;ipan or Slano, and browse the cobbled streets of the lovely historical town of Omi&scaron; before you finish your cruise in Split.&nbsp;</p>","Deluxe Superior",-,-
536,"Captain Bota: Split to Split 2023",cruise-split-split-captain-bota-2023,/storage/ships/bota-lead-5.jpg,"<p>The capital of Dalmatia, Split is often chosen as the first port of call all thanks to its convenient geographic position and stunning UNESCO World Heritage site. Explore the charming coastal towns as you make your way down to Dubrovnik and back, sit back on the topdeck and relax with a good book as you soak up some sun and enjoy the gorgeous Croatian archipelago. For the ultimate in sea delights, there are plenty of swim stops in the turquoise-blue waters of the Adriatic.</p>",Deluxe,-,-
549,"Princess Aloha: Dubrovnik to Dubrovnik 2023",cruise-dubrovnik-dubrovnik-princess-aloha-2023,/storage/ships/aloha.jpg,"<p>A perfect cruise for every one who wants to start and finish in Dubrovnik! This UNESCO-protected medieval town has some of the most beautiful islands in South Adriatic, so a 7-night journey is definitely the best option to see them all. Dalmatia's capital Split and the vibrant island of Brač are also included in this adventure. Accommodation on a perfectly equipped modern vessel, new fantastic places every day, delicious meals and relaxing atmosphere of Croatian coastal towns.&nbsp;</p>","Premium Superior",-,-
553,"Arca: Dubrovnik to Split 2023",cruise-dubrovnik-split-arca-2023,/storage/ships/arca.jpg,"<p>The southernmost town of Croatia is a great place to start your voyage! The coastline between Dubrovnik and Split is literally sprinkled with charming islands - real heaven for all nature and culture lovers. Comfortable accommodation in an en-suite cabin, swim stops in picturesque secluded lagoons, delicious meals and breathtaking views will make your Croatian dream come true.</p>","Deluxe Superior",-,-
556,"Arca: Split to Dubrovnik 2023",cruise-split-dubrovnik-arca-2023,/storage/ships/arca.jpg,"<p>Fancy an exciting 8-day adventure in the gorgeous Adriatic Sea? Start your journey in Dalmatia's vibrant capital Split and disembark in the fabulous city of Dubrovnik. Despite the tight-looking sailing schedule, the route is perfectly designed for everyone yearning for a relaxing holiday! Stop off at Hvar, Brač, Vis and Elafiti to enjoy some sight-seeing, fantastic nature and lovely beaches.&nbsp;</p>","Deluxe Superior",-,-
557,"Desire: Split to Split 2023",cruise-split-split-desire-2023,/storage/ships/desire.jpg,"<p>If you are looking for a great round trip along the Croatian coast, choose Split as you starting point to go down to Dubrovnik and back. This route includes all the &bdquo;greatest hits&ldquo; of Croatia's gourgeous archipelago: Hvar, Brač, Mljet and Korčula. This itinerary offers a lot of relaxation, great sight-seeing and unforgettable gastronomic experience. Swim stops before lunch, arrival to the port in the afternoon and evenings spent at leisure exploring new towns before disembarking back in Split.&nbsp;</p>","Deluxe Superior",-,-
559,"Stella Maris: Split - Zadar - Split 2023",cruise-split-zadar-split-stella-maris-2023,/storage/ships/Stella_Maris_air_-_0144.jpg,"<p>The Croatian coastline north of Split has so much to offer, however, surprisingly, it often goes overlooked. The good news is: North Dalmatia is way less crowded than the south, which brings more opportunities to explore the main highlights without hords of tourists. Listen to the famous Sea Organ in the 3,000-year-old city of Zadar, stroll along the picturesque seafront of &Scaron;ibenik, enjoy multiple stops for swimming and delicious meals on board.&nbsp;</p>",Deluxe,-,-
560,"Arca: Split to Split 2023",cruise-split-split-arca-2023,/storage/ships/arca.jpg,"<p>If you are looking for a great round trip along the Croatian coast, choose Split as you starting point to go down to Dubrovnik and back. This route includes all the &bdquo;greatest hits&ldquo; of Croatia's gourgeous archipelago: Hvar, Brač, Mljet and Korčula. This itinerary offers a lot of relaxation, great sight-seeing and unforgettable gastronomic experience. Swim stops before lunch, arrival to the port in the afternoon and evenings spent at leisure exploring new towns before disembarking back in Split.&nbsp;</p>","Deluxe Superior",-,-
